# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: /media/lampa/42583FF2583FE379/#Univer/digital_lab/boards/DE10-Nano/DE10_Nano_Default.csv
# Generated on: Sun Sep  2 18:05:36 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
HDMI_TX_D[12],Unknown,PIN_AE7,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[13],Unknown,PIN_AF6,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[14],Unknown,PIN_AF8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[15],Unknown,PIN_AF5,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[16],Unknown,PIN_AE4,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[17],Unknown,PIN_AH2,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[18],Unknown,PIN_AH4,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[19],Unknown,PIN_AH5,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[20],Unknown,PIN_AH6,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[21],Unknown,PIN_AG6,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[22],Unknown,PIN_AF9,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[23],Unknown,PIN_AE8,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_HS,Unknown,PIN_T8,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_INT,Unknown,PIN_AF11,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_VS,Unknown,PIN_V13,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],Unknown,PIN_AH17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[1],Unknown,PIN_AH16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[0],Unknown,PIN_W15,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[1],Unknown,PIN_AA24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[2],Unknown,PIN_V16,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[3],Unknown,PIN_V15,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[4],Unknown,PIN_AF26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[5],Unknown,PIN_AE26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[6],Unknown,PIN_Y16,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LED[7],Unknown,PIN_AA23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[0],Unknown,PIN_Y24,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[1],Unknown,PIN_W24,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[2],Unknown,PIN_W21,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],Unknown,PIN_W20,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
